2454,"American actor, filmmaker, and musician"
5829,award for important contributions to the natural sciences
4763,British politician (born 1957)
3987,Japanese politician
11080,Argentine footballer and manager
9661,English international association football defender (born 1987)
9657,English association football player (born 1983)
10968,association football player
9815,under-16 association football team representing Spain
10724,national association football team
10642,national under-16 association football team representing Norway
5195,"district in Loei province, Thailand"
9291,American physician
4356,Austrian politician
11015,Turkish association football player
6404,Japanese award
3846,head of state and of government of the U.S. state of Arkansas
1528,"commune in Haut-Rhin, France"
4378,Tunisian politician and businessman (1889-1976)
12390,Australian soccer player
3890,American businessman and politician
4785,British politician (born 1952)
4524,political scientist from the United States
8174,American hard rock band
6126,Serbian decoration
1284,"commune in Moselle, France"
1283,"commune in Moselle, France"
9379,Romanian historian
3524,member of the Cabinet of the United Kingdom
3451,British politician (born 1959)
1982,municipality in the Netherlands
11364,Irish association football player (1981-2018)
10852,Spanish footballer
11441,Austrian footballer
8092,award given by the  Broadcast Film Critics Association
7719,award given by the  Broadcast Film Critics Association
1612,"commune in Yvelines, France"
11667,Belarusian footballer
9384,British-American actress
4130,chief executive of the Ministry of Foreign Affairs in Japan
7212,literary award
7524,award of the USSR
1228,"commune in Moselle, France"
599,"French territorial collectivity created in 2015, exercising the competences of both a metropolis and a dÃ©partement"
11421,association football club in Estonia
1325,"commune in Moselle, France"
3350,"Anglican church in Boston, US"
1324,"commune in Moselle, France"
1323,"commune in Moselle, France"
1322,"commune in Moselle, France"
398,"commune in Essonne, France"
10787,association football club in Belgium
413,"village in Bryansk Oblast, Russia"
3504,"In the British Parliamentary system, the member of the Shadow Cabinet who is responsible for shadowing the Chancellor of the Exchequer"
1652,"commune in Nord, France"
11604,Romanian footballer
278,canton of France
11541,Bulgarian footballer
3729,head of state and of government of the U.S. state of Texas
12477,German footballer
12417,Peruvian footballer
8676,award
7909,
9811,sports team
6761,American physicist
9910,association football club in Romania
9974,association football club in Germany
6021,American physicist (1918-1980)
1676,chess player
8414,(1734-1800)
10720,men's national association football team representing Ukraine
6199,American basketball player
9386,American actress and producer
9906,association football club in Germany
8283,French writer and screenwriter
8649,
3696,elected representative in the Australian federal lower house of parliament
2465,president of the United States from 1921 to 1923
6938,American geophysicist and musicologist (1925-2011)
4063,German cabinet position
7848,
12286,Icelandic footballer
11737,Czech soccer player and soccer representant
911,municipality in the Netherlands and capital city of North Holland
4742,American politician
567,"commune in Territoire de Belfort, France"
296,former municipality in Austria
2598,Nazi paramilitary organization
293,"commune in Ain, France"
2883,German classical philologist
10935,Greek footballer
1407,"municipality in Lower Saxony, Germany"
2065,style of Medieval art developed in Northern France
7705,German cinematographer
6158,
2434,Japanese actress and voice actress
6129,English actor and producer (born 1980)
8737,Bulgarian diplomat
9464,rebuilding or reassembling of a destroyed infrastructure
9505,Swedish coastal defence ship
6425,Soviet geochemist (1895-1975)
9302,
7995,award
8175,
2411,American educator and civil rights advocate
9930,Icelandic association football player
11750,German footballer
7308,American geophysicist and experimental petrologist
9935,English association football player
7475,music award
11982,Northern Irish footballer
7465,German composer
262,Governorate of the Russian Empire
3469,position in the Soviet Union
230,official region of England
2225,Spanish physician and politician (1945â€?022)
12280,Congolese footballer
8253,"Iranian lawyer, human rights activist, and Nobel Peace Prize recipient"
10190,German footballer
7611,German literary award
166,canton of France
6848,category of category of MTV Europe Music Award
5563,American actress
10908,German footballer
11845,Association footballer
9064,Omani association football player
11688,Ukrainian footballer
12350,Japanese association football player
6028,Tony Award
10103,Colombian association football player
2890,French librarian
10207,Spanish association football player
4886,French lawyer and statesman (1863â€?937)
10076,Polish association football club
10120,Brazilian footballer
9793,Ecuadorian sports club based in Guayaquil
4679,33rd Prime Minister of Norway
57,Russian city district
2472,"American stage, film, radio, and television actress (1928 â€?2014)"
482,Italian comune
6211,award
4586,French writer
667,Italian comune
8093,award
8963,
9680,French association football player
9955,"football club in Ajaccio, Corsica, France"
8442,South African politician (1917-2009)
6440,biochemistry award
8319,Indian actress
12092,association football club
